Log Files (Rel. Path),Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K),sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms O,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-O-C Torsions,C-O-C-C Torsions,C-O-C-F Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-O Torsions,F-C-O-C Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-O-C-C Torsions,O-O-C-F Torsions
qchem_data/log/c6f13oh.log,c6f13oh.log,C6F13OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(F)(F)F)(F)F)(F)F,11.677,0.2534,-0.00025085,1.15e-07,-1.98e-11,-705.78,141.33,0.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,19.0,6.0,13.0,1.0,5,3.0,9.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/hexane.log,hexane.log,C6F14,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,11.36,0.24597,-0.00024426,1.1171e-07,-1.9232e-11,-713.26,139.81,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,19.0,6.0,14.0,0.0,5,3.0,9.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/1_octane_c7_rad.log,1_octane_c7_rad.log,C7F15,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,16.979,0.25448,-0.00024654,1.1e-07,-1.86e-11,-702.8,152.659706,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,21.0,7.0,15.0,0.0,6,4.0,11.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/heptane1H.log,heptane1H.log,C7F15H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)F)(F)F,12.771,0.27204,-0.00026288,1.18e-07,-2.01e-11,-751.79,150.76,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,21.0,7.0,15.0,0.0,6,4.0,11.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c7f15oh.log,c7f15oh.log,C7F15OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,13.438,0.29164,-0.0002889,1.32e-07,-2.28e-11,-803.55,155.44,0.0,0.0,0.0,0.0,6.0,15.0,1.0,0.0,22.0,7.0,15.0,1.0,6,4.0,11.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/heptane.log,heptane.log,C7F16,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F,13.078,0.28431,-0.00028241,1.29e-07,-2.22e-11,-811.67,153.808976,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,22.0,7.0,16.0,0.0,6,4.0,11.0,0.0,0.0,0.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/1_octane_c8_rad.log,1_octane_c8_rad.log,C8F17,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,15.505,0.30662,-0.00030447,1.39e-07,-2.4e-11,-800.34,166.66,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,24.0,8.0,17.0,0.0,7,5.0,13.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/octane1H.log,octane1H.log,C8F17H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F,14.24,0.3113,-0.00030219,1.36e-07,-2.32e-11,-958.27,164.19,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,24.0,8.0,17.0,0.0,7,5.0,13.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/n_octane_twisted.log,n_octane_twisted.log,C8F18,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,14.412,0.32398,-0.00032223,1.48e-07,-2.54e-11,-909.28,166.526512,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,25.0,8.0,18.0,0.0,7,5.0,13.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/cf2.log,cf2.log,CF2,[C](F)F,4.717,0.02003,-1.84e-05,7.84e-09,-1.27e-12,-46.34,57.490866,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
