Abbreviation,Log Name_x,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K ,SMILES,Molecule,Log Name_y,Log Path,Unnamed: 0,Log Mol. Objects
,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,C6H5F7O2,33_ftca,/qchem_data/log_to_pdb_in/33_ftca.log,177,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7ed0>
,,[O]C(O)(F)C(F)(F)F,,,,,,,,FC(C(F)([O])O)(F)F,C2HF4O2,tfcof_oh,/qchem_data/log_to_pdb_in/tfcof_oh.log,179,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7c30>
,,C=CC(F)(F)C(F)(F)F,,,,,,,,C=CC(C(F)(F)F)(F)F,C4H3F5,22_butene,/qchem_data/log_to_pdb_in/22_butene.log,181,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc120>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C6H2F13NO2S,fhxsa,/qchem_data/log_to_pdb_in/fhxsa.log,183,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc270>
,,CCC(F)(F)C(F)(F)F,,,,,,,,CCC(C(F)(F)F)(F)F,C4H5F5,22rh,/qchem_data/log_to_pdb_in/22rh.log,184,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc2e0>
,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H3F13,62_octene,/qchem_data/log_to_pdb_in/62_octene.log,185,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc350>
,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H5F9O,42ftoh,/qchem_data/log_to_pdb_in/42ftoh.log,192,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc660>
,,FC(F)=C(F)F.F[C]F,,,,,,,,FC(=C(F)F)F.F[C]F,C3F6,cpropane_picomplex,/qchem_data/log_to_pdb_in/cpropane_picomplex.log,194,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc740>
,,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8HF17O,pfooh,/qchem_data/log_to_pdb_in/pfooh.log,197,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc820>
,,NS(=O)(=O)C(F)(F)C(F)(F)F,,,,,,,,FC(S(=O)(=O)N)(C(F)(F)F)F,C2H2F5NO2S,fetsa,/qchem_data/log_to_pdb_in/fetsa.log,198,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc900>
,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,C5H2F11NO2S,fpnsa,/qchem_data/log_to_pdb_in/fpnsa.log,199,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acc970>
,,CCC,,,,,,,,CCC,C3H8,propane,/qchem_data/log_to_pdb_in/propane.log,201,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acca50>
