Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
53_ftca,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,153.89
61_heptene,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,137.79
62_fts,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,173.15
62_ftsa,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,173.91
62_octene,10.416,0.27604,-0.00026132,1.1652e-07,-1.9764e-11,0.0,147.99
62ftab,7.1203,0.5285,-0.00042106,1.656e-07,-2.5582e-11,0.0,224.93
62ftoh,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,156.24
62rh,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
71_octene,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,152.36
butylallyl,9.4988,0.11984,-0.00011699,5.2971e-08,-9.0669e-12,-274.97,106.35
c2f4,5.7237,0.058171,-5.6241e-05,2.5472e-08,-4.3786e-12,0.0,74.103
c2f4o,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,79.899
fbsa,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,131.19
fetsa,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,104.17
fhpsa,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,172.27
nmefosaa,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,153.14
pfbcof,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,109.98
pfboh,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,113.59
pfbs,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,129.89
pfeoh,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,84.567
pfets,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
pfhpa,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
pfhpoh,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,155.32
pfhps,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,172.06
pfhxa,10.972,0.23642,-0.00023116,1.0511e-07,-1.8056e-11,0.0,137.72
pfhxcof,12.286,0.22581,-0.00022214,1.0105e-07,-1.7343e-11,0.0,137.55
pfhxoh,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
pfhxs,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,158.46
pfoa,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
pfocof,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,151.88
pfooh,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,168.24
pfpeoh,9.9632,0.21492,-0.00021246,9.7329e-08,-1.6804e-11,0.0,127.54
pfpes,12.939,0.25323,-0.0002531,1.1688e-07,-2.0306e-11,0.0,144.31
pfpncof,10.495,0.18766,-0.00018422,8.3691e-08,-1.4353e-11,0.0,123.37
pfpra,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,96.243
pfprcof,7.0146,0.1111,-0.00010808,4.883e-08,-8.3445e-12,0.0,95.561
pfproh,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
pfprs,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,116.92
propene,4.4189,0.099053,-9.6612e-05,4.3772e-08,-7.5002e-12,0.0,84.442
tfa,1.8518,0.083796,-7.9417e-05,3.563e-08,-6.0813e-12,0.0,75.178
tfcof,5.1967,0.073193,-7.0524e-05,3.168e-08,-5.3945e-12,0.0,79.91
triflate_amide,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,87.728
triflic,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,87.011
